method,K,angle_deg,seed,source_json,T60,C50,EDT,FD,RIR_to_GT_RIR_R@1,RIR_to_GT_RIR_R@5,RIR_to_GT_RIR_R@10,RIR_to_geom_R@1,RIR_to_geom_R@5,RIR_to_geom_R@10
FA B-F@40k,1,180,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot180_unseeneval_1_s42_fa_invariant_a4_rot180.json,9.4843,1.0546,41.2406,0.3284,5.2391,15.7172,23.6863,3.7715,12.7347,19.4256
FA B-F@40k,1,180,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot180_unseeneval_1_s43_fa_invariant_a4_rot180.json,9.5289,1.0562,42.0503,0.3291,4.955,16.1906,23.923,3.6926,12.5138,19.5361
FA B-F@40k,1,180,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot180_unseeneval_1_s44_fa_invariant_a4_rot180.json,9.6115,1.0623,42.0149,0.3293,5.3811,15.9855,23.5285,3.519,12.8136,20.0726
FA B-F@40k,1,180,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot180_unseeneval_1_s45_fa_invariant_a4_rot180.json,9.5013,1.0511,41.9108,0.3285,5.0181,16.0959,23.7652,3.7715,12.5454,19.7096
FA B-F@40k,1,180,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot180_unseeneval_1_s46_fa_invariant_a4_rot180.json,9.5845,1.0552,41.5582,0.3284,5.2391,16.3484,23.6232,3.8188,12.498,19.8517
FA B-F@40k,1,270,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot270_unseeneval_1_s42_fa_invariant_a4_rot270.json,9.4846,1.0547,41.2397,0.3284,5.2391,15.7014,23.6863,3.6453,11.6932,18.0211
FA B-F@40k,1,270,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot270_unseeneval_1_s43_fa_invariant_a4_rot270.json,9.5295,1.0562,42.0531,0.3291,4.9708,16.2064,23.8914,3.4243,11.567,17.674
FA B-F@40k,1,270,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot270_unseeneval_1_s44_fa_invariant_a4_rot270.json,9.6099,1.0623,42.0151,0.3293,5.4127,15.9855,23.5285,3.3454,12.0088,17.958
FA B-F@40k,1,270,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot270_unseeneval_1_s45_fa_invariant_a4_rot270.json,9.501,1.0511,41.9098,0.3285,5.0181,16.0959,23.7494,3.4717,11.6301,18.3683
FA B-F@40k,1,270,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot270_unseeneval_1_s46_fa_invariant_a4_rot270.json,9.5846,1.0552,41.5623,0.3284,5.2549,16.3642,23.6232,3.6137,11.5354,17.9896
FA B-F@40k,8,0,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp11_C4backfill_S40000_s42_K8_fa_invariant_a4.json,8.189,0.9805,38.8102,0.3332,5.3495,16.3484,24.2386,4.1187,14.0761,21.193
FA B-F@40k,8,0,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K8_s43_fa_invariant_a4.json,8.1979,0.9778,38.7222,0.3332,5.318,16.4747,24.1755,4.1502,13.9814,20.9089
FA B-F@40k,8,0,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K8_s44_fa_invariant_a4.json,8.22,0.9766,38.912,0.333,5.46,16.4747,24.4122,4.1502,14.0918,21.3035
FA B-F@40k,8,0,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K8_s45_fa_invariant_a4.json,8.1824,0.9773,38.7474,0.3331,5.46,16.4905,24.207,4.2765,14.3128,21.1299
FA B-F@40k,8,0,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K8_s46_fa_invariant_a4.json,8.2191,0.977,38.7735,0.3332,5.3969,16.4431,23.9546,4.2291,13.9972,21.0036
