method,K,angle_deg,seed,source_json,T60,C50,EDT,FD,RIR_to_GT_RIR_R@1,RIR_to_GT_RIR_R@5,RIR_to_GT_RIR_R@10,RIR_to_geom_R@1,RIR_to_geom_R@5,RIR_to_geom_R@10
FA B-F@40k,8,45,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot45_unseeneval_s42_fa_invariant_a4_rot45.json,9.6424,1.0924,40.9035,0.3398,3.7399,12.2771,19.8043,3.1561,10.6675,16.1906
FA B-F@40k,8,45,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot45_unseeneval_s43_fa_invariant_a4_rot45.json,9.6421,1.0918,40.8616,0.3398,3.9293,12.3876,19.4887,3.0929,10.2572,16.0959
FA B-F@40k,8,45,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot45_unseeneval_s44_fa_invariant_a4_rot45.json,9.6408,1.0871,40.9447,0.3395,3.7084,12.356,19.5992,3.0456,10.4781,15.9224
FA B-F@40k,8,45,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot45_unseeneval_s45_fa_invariant_a4_rot45.json,9.6303,1.0916,40.8418,0.3398,3.9293,12.4191,19.4414,3.1876,10.1783,16.0644
FA B-F@40k,8,45,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot45_unseeneval_s46_fa_invariant_a4_rot45.json,9.6453,1.0898,40.9549,0.3399,3.8662,12.3876,19.2836,3.1245,10.2888,16.3326
FA B-F@40k,8,90,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_s42_fa_invariant_a4_rot90.json,8.1895,0.9805,38.8146,0.3333,5.3022,16.3484,24.2386,3.6295,12.0562,18.3052
FA B-F@40k,8,90,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_s43_fa_invariant_a4_rot90.json,8.1974,0.9779,38.7252,0.3332,5.2864,16.4431,24.1755,3.3297,12.3087,18.2579
FA B-F@40k,8,90,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_s44_fa_invariant_a4_rot90.json,8.2202,0.9766,38.9147,0.333,5.4442,16.4589,24.3491,3.6137,11.9773,18.0843
FA B-F@40k,8,90,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_s45_fa_invariant_a4_rot90.json,8.182,0.9774,38.7476,0.3331,5.4916,16.522,24.207,3.4086,11.8668,17.9422
FA B-F@40k,8,90,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_s46_fa_invariant_a4_rot90.json,8.2184,0.9771,38.7763,0.3332,5.3811,16.4589,23.9388,3.4717,12.0246,17.9738
